school_name,school_code,latitude,longitude,status,google_name,google_lat,google_lng,google_address,distance_m,your_pin_link,google_pin_link
SJK(T) LADANG KULAI OIL PALM,JBD8006,1.668195,103.541418,confirmed,Sekolah Jenis Kebangsaan (T) Ladang Kulai Oil Palm,1.6674517999999998,103.5374827,"Ladang Kulai Oil Palm, Johor, 81000 Kulai, Johor, Malaysia",445.0,"https://www.google.com/maps?q=1.668195,103.541418","https://www.google.com/maps?q=1.6674517999999998,103.5374827"
SJK(T) LADANG MENGKIBOL,JBD2045,2.007087,103.298643,confirmed,SJK(T) LADANG MENGKIBOL,2.0069346,103.2984691,"SJK(T) Ladang Mengkibol, Ladang Mengkibol, 86000 Kluang, Johor, Malaysia",26.0,"https://www.google.com/maps?q=2.007087,103.298643","https://www.google.com/maps?q=2.0069346,103.2984691"
SJK(T) BENTONG,CBD0038,3.530558333,101.8995417,confirmed,SMJK Khai Mun,3.5328506,101.8996092,"Kampung Kuala Repas, 28700 Bentong, Pahang, Malaysia",255.0,"https://www.google.com/maps?q=3.530558333,101.8995417","https://www.google.com/maps?q=3.5328506,101.8996092"
SJK(T) LADANG KATOYANG,ABDA007,3.709525,101.493552,confirmed,SJKT Ladang Ketoyong,3.7101914,101.4927991,"35900 Tanjong Malim, Perak, Malaysia",112.0,"https://www.google.com/maps?q=3.709525,101.493552","https://www.google.com/maps?q=3.7101914,101.4927991"
SJK(T) LADANG BATU PEKAKA,KBD0055,5.57922,100.63584,confirmed,SJK(T) LDG Batu Pekaka,5.5792019,100.6345701,"Batu Pekaka Kuala Ketil, Kampung Titi Panjang, 09100 Kuala Ketil, Kedah, Malaysia",141.0,"https://www.google.com/maps?q=5.57922,100.63584","https://www.google.com/maps?q=5.5792019,100.6345701"
SJK(T) JALAN TAJUL,JBD3015,1.721452,103.896565,confirmed,SMK Tun Habab,1.7227367999999998,103.8967036,"Jalan Tajul, Taman Sri Lalang, 81900 Kota Tinggi, Johor Darul Ta'zim, Malaysia",144.0,"https://www.google.com/maps?q=1.721452,103.896565","https://www.google.com/maps?q=1.7227367999999998,103.8967036"
SJK(T) BUKIT DARAH,BBD7454,3.2203,101.503539,confirmed,SJKT Bukit Darah,3.2200141,101.5037551,"47000 Sungai Buloh, Selangor, Malaysia",40.0,"https://www.google.com/maps?q=3.2203,101.503539","https://www.google.com/maps?q=3.2200141,101.5037551"
SJK(T) LADANG YONG PENG,JBD0058,2.011158,103.062303,confirmed,Yong Peng High School 永平中學,2.0136765,103.0623958,"Jln Sekolah Cina, Taman Selatan, 83700 Yong Peng, Johor Darul Ta'zim, Malaysia",280.0,"https://www.google.com/maps?q=2.011158,103.062303","https://www.google.com/maps?q=2.0136765,103.0623958"
SJK(T) LADANG CHEMBONG,NBD3032,2.608594,102.067605,confirmed,Sjk (t) Ladang Chembong,2.6087903,102.0672176,"Sjk (t) Ladang Chembong, Kawasan Perindustrian Chembong, 71300 Pedas, Malaysia",48.0,"https://www.google.com/maps?q=2.608594,102.067605","https://www.google.com/maps?q=2.6087903,102.0672176"
SJK(T) GUNONG RAPAT,ABD2167,4.572999909,101.1187101,confirmed,SJK (C) Gunung Rapat,4.5734166,101.1191574,"Main Road, Gunung Rapat, 31350 Ipoh, Perak, Malaysia",68.0,"https://www.google.com/maps?q=4.572999909,101.1187101","https://www.google.com/maps?q=4.5734166,101.1191574"
SJK(T) JALAN SETESYEN PALOH,JBD2053,2.185443,103.196533,confirmed,SJK (T) Paloh,2.1856084,103.1971577,"Sjk (t) Paloh, Jalan Station, Kampung Muhibbah, 86600 Paloh, Malaysia",72.0,"https://www.google.com/maps?q=2.185443,103.196533","https://www.google.com/maps?q=2.1856084,103.1971577"
